Time (h) 2022-10-13T07.07.00.130;ambient temperature (°C) Flask A1;ambient humidity (%) Flask A1;ambient pressure (mBar) Flask A1;CO2 conc. (%) Flask A1;O2 conc. (%) Flask A1;;Time (h) 2022-10-13T07.07.01.278;ambient temperature (°C) Flask A2;ambient humidity (%) Flask A2;ambient pressure (mBar) Flask A2;CO2 conc. (%) Flask A2;O2 conc. (%) Flask A2;;Time (h) 2022-10-13T07.07.01.594;ambient temperature (°C) Flask A3;ambient humidity (%) Flask A3;ambient pressure (mBar) Flask A3;CO2 conc. (%) Flask A3;O2 conc. (%) Flask A3;;Time (h) 2022-10-13T07.07.01.396;ambient temperature (°C) Flask A4;ambient humidity (%) Flask A4;ambient pressure (mBar) Flask A4;CO2 conc. (%) Flask A4;O2 conc. (%) Flask A4;;
1.45473;44.04;22.05;1015.65;0.097;20.052;;1.45471;44.43;23.07;1016.46;0.100;20.057;;1.45472;43.93;23.25;1015.45;0.044;20.796;;1.45472;43.53;29.22;1016.17;0.044;20.729;;
1.45612;44.03;21.94;1015.64;0.097;20.051;;1.45610;44.43;22.80;1016.46;0.101;20.056;;1.45611;43.93;23.11;1015.44;0.043;20.813;;1.45610;43.53;29.06;1016.17;0.043;20.755;;
1.45751;44.03;21.75;1015.65;0.097;20.050;;1.45749;44.43;22.62;1016.45;0.100;20.053;;1.45750;43.93;22.96;1015.44;0.042;20.828;;1.45749;43.53;28.77;1016.17;0.043;20.777;;
1.45890;44.03;21.52;1015.63;0.097;20.049;;1.45888;44.43;22.50;1016.46;0.101;20.052;;1.45889;43.93;22.88;1015.43;0.042;20.841;;1.45888;43.53;28.63;1016.17;0.042;20.797;;
1.46029;44.03;21.39;1015.63;0.097;20.049;;1.46026;44.42;22.41;1016.46;0.101;20.050;;1.46027;43.93;22.66;1015.44;0.041;20.852;;1.46027;43.53;28.52;1016.14;0.042;20.816;;
1.46168;44.02;21.26;1015.63;0.097;20.047;;1.46165;44.42;22.28;1016.47;0.101;20.050;;1.46166;43.92;22.57;1015.44;0.042;20.862;;1.46166;43.52;28.46;1016.13;0.042;20.831;;
1.46307;44.02;21.17;1015.62;0.097;20.048;;1.46304;44.42;22.13;1016.46;0.101;20.050;;1.46305;43.92;22.38;1015.41;0.041;20.872;;1.46305;43.52;28.31;1016.12;0.042;20.847;;
1.46445;44.01;21.11;1015.62;0.097;20.048;;1.46443;44.41;21.96;1016.45;0.101;20.049;;1.46444;43.92;22.31;1015.42;0.041;20.879;;1.46444;43.52;28.06;1016.11;0.041;20.859;;
1.46584;44.01;21.06;1015.63;0.097;20.048;;1.46582;44.41;21.87;1016.45;0.101;20.049;;1.46583;43.92;22.14;1015.41;0.041;20.888;;1.46583;43.52;27.94;1016.11;0.041;20.872;;
1.46723;44.01;20.85;1015.64;0.098;20.049;;1.46721;44.40;21.70;1016.44;0.101;20.049;;1.46722;43.91;21.89;1015.40;0.040;20.900;;1.46722;43.51;27.52;1016.12;0.041;20.884;;
1.46862;44.00;20.73;1015.63;0.098;20.049;;1.46860;44.40;21.45;1016.44;0.101;20.050;;1.46861;43.91;21.60;1015.40;0.040;20.914;;1.46861;43.51;27.23;1016.12;0.041;20.899;;
1.47001;44.00;20.47;1015.63;0.097;20.050;;1.46999;44.40;21.24;1016.44;0.101;20.050;;1.47000;43.90;21.44;1015.39;0.040;20.928;;1.46999;43.50;27.01;1016.11;0.041;20.917;;
1.47140;43.99;20.29;1015.63;0.097;20.052;;1.47138;44.40;21.05;1016.43;0.101;20.053;;1.47139;43.89;21.33;1015.40;0.044;20.894;;1.47138;43.49;26.69;1016.11;0.040;20.935;;
1.47279;43.99;19.99;1015.64;0.098;20.055;;1.47277;44.40;20.88;1016.43;0.101;20.055;;1.47278;43.88;21.12;1015.38;0.052;20.785;;1.47277;43.49;26.55;1016.09;0.040;20.953;;
1.47418;43.98;19.88;1015.64;0.097;20.059;;1.47415;44.39;20.62;1016.43;0.101;20.060;;1.47416;43.88;20.90;1015.36;0.060;20.701;;1.47416;43.48;26.43;1016.10;0.040;20.969;;
1.47557;43.97;19.78;1015.64;0.098;20.066;;1.47554;44.38;20.37;1016.46;0.101;20.065;;1.47555;43.87;20.79;1015.41;0.066;20.645;;1.47555;43.47;26.23;1016.14;0.041;20.982;;
1.47696;43.97;19.53;1015.74;0.097;20.072;;1.47693;44.38;20.24;1016.50;0.101;20.071;;1.47694;43.87;20.57;1015.46;0.071;20.610;;1.47694;43.47;26.06;1016.19;0.047;20.972;;
1.47834;43.96;19.19;1015.67;0.097;20.082;;1.47832;44.37;20.15;1016.43;0.101;20.078;;1.47833;43.86;20.41;1015.41;0.075;20.586;;1.47833;43.45;26.02;1016.14;0.057;20.914;;
1.47973;43.94;19.02;1015.67;0.097;20.090;;1.47971;44.36;19.92;1016.42;0.100;20.085;;1.47972;43.84;20.30;1015.40;0.078;20.568;;1.47972;43.44;25.82;1016.12;0.065;20.853;;
1.48112;43.94;18.94;1015.64;0.097;20.099;;1.48110;44.36;19.73;1016.41;0.100;20.091;;1.48111;43.84;20.08;1015.40;0.081;20.554;;1.48111;43.43;25.68;1016.13;0.072;20.804;;
1.48251;43.93;18.65;1015.65;0.097;20.108;;1.48249;44.35;19.54;1016.42;0.100;20.098;;1.48250;43.83;19.89;1015.40;0.083;20.539;;1.48249;43.42;25.53;1016.13;0.077;20.766;;
1.48390;43.93;18.52;1015.64;0.097;20.116;;1.48388;44.35;19.41;1016.41;0.100;20.103;;1.48389;43.83;19.83;1015.39;0.084;20.526;;1.48388;43.42;25.39;1016.13;0.081;20.733;;
1.48529;43.92;18.36;1015.64;0.097;20.122;;1.48527;44.35;19.37;1016.42;0.100;20.108;;1.48528;43.82;19.68;1015.39;0.086;20.511;;1.48527;43.41;25.24;1016.13;0.084;20.705;;
1.48668;43.92;18.39;1015.62;0.097;20.127;;1.48666;44.34;19.22;1016.41;0.100;20.110;;1.48667;43.81;19.51;1015.40;0.086;20.496;;1.48666;43.40;25.14;1016.13;0.086;20.679;;
1.48807;43.91;18.14;1015.62;0.097;20.129;;1.48804;44.34;19.12;1016.41;0.101;20.112;;1.48805;43.81;19.46;1015.40;0.088;20.480;;1.48805;43.40;25.01;1016.11;0.088;20.655;;
1.48946;43.91;18.01;1015.61;0.097;20.131;;1.48943;44.34;19.01;1016.41;0.101;20.113;;1.48944;43.81;19.35;1015.40;0.088;20.465;;1.48944;43.39;24.92;1016.12;0.089;20.631;;
1.49085;43.90;17.94;1015.60;0.097;20.131;;1.49082;44.33;18.90;1016.41;0.101;20.112;;1.49083;43.81;19.26;1015.40;0.089;20.449;;1.49083;43.39;24.82;1016.12;0.090;20.610;;
1.49223;43.90;17.86;1015.60;0.097;20.130;;1.49221;44.33;18.77;1016.43;0.101;20.110;;1.49222;43.81;19.18;1015.41;0.089;20.435;;1.49222;43.39;24.74;1016.11;0.091;20.588;;
1.49362;43.90;17.81;1015.62;0.097;20.127;;1.49360;44.33;18.74;1016.42;0.101;20.109;;1.49361;43.80;19.13;1015.42;0.090;20.421;;1.49361;43.38;24.64;1016.12;0.091;20.569;;
1.49501;43.90;17.86;1015.62;0.098;20.124;;1.49499;44.33;18.63;1016.43;0.101;20.107;;1.49500;43.80;18.96;1015.42;0.090;20.408;;1.49500;43.38;24.55;1016.12;0.092;20.551;;
1.49640;43.90;17.61;1015.63;0.098;20.120;;1.49638;44.32;18.54;1016.43;0.101;20.103;;1.49639;43.81;18.92;1015.43;0.090;20.395;;1.49638;43.38;24.50;1016.13;0.092;20.533;;
1.49779;43.90;17.67;1015.63;0.097;20.117;;1.49777;44.32;18.46;1016.42;0.101;20.101;;1.49778;43.80;18.85;1015.42;0.091;20.384;;1.49777;43.38;24.39;1016.11;0.093;20.519;;
1.49918;43.90;17.48;1015.64;0.097;20.113;;1.49916;44.32;18.44;1016.44;0.101;20.098;;1.49917;43.80;18.81;1015.44;0.091;20.374;;1.49916;43.37;24.37;1016.13;0.093;20.505;;
1.50057;43.89;17.42;1015.63;0.098;20.111;;1.50055;44.32;18.36;1016.43;0.101;20.095;;1.50056;43.79;18.73;1015.43;0.091;20.365;;1.50055;43.37;24.16;1016.12;0.093;20.493;;
1.50196;43.89;17.38;1015.62;0.098;20.107;;1.50193;44.32;18.33;1016.41;0.101;20.092;;1.50194;43.79;18.74;1015.41;0.092;20.356;;1.50194;43.37;24.27;1016.11;0.094;20.484;;
1.50335;43.89;17.33;1015.62;0.098;20.103;;1.50332;44.32;18.24;1016.42;0.101;20.090;;1.50333;43.79;18.68;1015.42;0.091;20.347;;1.50333;43.37;24.05;1016.14;0.094;20.476;;
1.50474;43.89;17.28;1015.62;0.098;20.101;;1.50471;44.31;18.28;1016.43;0.102;20.087;;1.50472;43.79;18.67;1015.42;0.092;20.340;;1.50472;43.37;24.00;1016.13;0.094;20.471;;
1.50612;43.90;17.27;1015.63;0.098;20.097;;1.50610;44.31;18.27;1016.44;0.102;20.083;;1.50611;43.79;18.63;1015.42;0.092;20.333;;1.50611;43.37;24.23;1016.14;0.094;20.467;;
1.50751;43.89;17.28;1015.63;0.098;20.093;;1.50749;44.31;18.23;1016.43;0.102;20.081;;1.50750;43.79;18.62;1015.42;0.092;20.325;;1.50750;43.37;24.20;1016.14;0.094;20.462;;
1.50890;43.89;17.31;1015.64;0.098;20.089;;1.50888;44.31;18.19;1016.43;0.102;20.078;;1.50889;43.79;18.60;1015.42;0.092;20.318;;1.50889;43.37;24.18;1016.13;0.094;20.458;;
1.51029;43.89;17.19;1015.63;0.098;20.085;;1.51027;44.31;18.24;1016.44;0.102;20.074;;1.51028;43.79;18.46;1015.41;0.092;20.312;;1.51027;43.37;24.09;1016.14;0.094;20.454;;
1.51168;43.90;17.15;1015.64;0.099;20.081;;1.51166;44.31;18.21;1016.43;0.102;20.072;;1.51167;43.79;18.41;1015.41;0.093;20.306;;1.51166;43.37;24.07;1016.13;0.094;20.450;;
1.51307;43.90;17.25;1015.64;0.099;20.079;;1.51305;44.31;18.15;1016.44;0.101;20.068;;1.51306;43.79;18.39;1015.42;0.093;20.304;;1.51305;43.37;23.85;1016.15;0.094;20.447;;
1.51446;43.90;17.10;1015.63;0.099;20.075;;1.51444;44.31;18.05;1016.44;0.102;20.066;;1.51445;43.79;18.40;1015.41;0.093;20.309;;1.51444;43.37;23.73;1016.14;0.095;20.443;;
1.51585;43.90;17.06;1015.63;0.099;20.072;;1.51582;44.31;18.12;1016.42;0.102;20.064;;1.51583;43.79;18.40;1015.41;0.093;20.314;;1.51583;43.38;23.93;1016.13;0.095;20.441;;
1.51724;43.90;17.09;1015.63;0.099;20.068;;1.51721;44.31;18.04;1016.43;0.102;20.061;;1.51722;43.79;18.44;1015.41;0.093;20.319;;1.51722;43.38;24.05;1016.12;0.095;20.437;;
1.51863;43.90;17.04;1015.64;0.098;20.066;;1.51860;44.31;17.97;1016.43;0.102;20.058;;1.51861;43.79;18.40;1015.41;0.093;20.323;;1.51861;43.38;24.04;1016.13;0.095;20.434;;
1.52001;43.90;17.11;1015.63;0.099;20.063;;1.51999;44.31;18.10;1016.43;0.102;20.057;;1.52000;43.79;18.43;1015.41;0.093;20.325;;1.52000;43.38;23.95;1016.13;0.095;20.431;;
1.52140;43.90;17.19;1015.63;0.099;20.061;;1.52138;44.31;18.01;1016.42;0.103;20.055;;1.52139;43.79;18.42;1015.41;0.093;20.328;;1.52139;43.38;23.91;1016.13;0.095;20.429;;
1.52279;43.90;17.14;1015.63;0.099;20.058;;1.52277;44.31;18.01;1016.42;0.102;20.052;;1.52278;43.79;18.42;1015.41;0.093;20.329;;1.52277;43.38;23.88;1016.12;0.095;20.426;;
1.52418;43.91;17.08;1015.63;0.099;20.056;;1.52416;44.31;18.08;1016.43;0.103;20.050;;1.52417;43.79;18.34;1015.41;0.094;20.330;;1.52416;43.39;23.96;1016.14;0.095;20.423;;
1.52557;43.91;17.12;1015.63;0.099;20.053;;1.52555;44.31;18.00;1016.43;0.103;20.047;;1.52556;43.79;18.34;1015.42;0.094;20.331;;1.52555;43.39;24.01;1016.15;0.096;20.422;;
1.52696;43.91;17.12;1015.63;0.099;20.050;;1.52694;44.31;18.12;1016.43;0.103;20.046;;1.52695;43.80;18.36;1015.42;0.094;20.332;;1.52694;43.39;24.01;1016.15;0.096;20.420;;
1.52835;43.90;17.19;1015.64;0.099;20.048;;1.52832;44.31;18.11;1016.44;0.102;20.043;;1.52834;43.80;18.35;1015.43;0.095;20.333;;1.52833;43.39;24.02;1016.14;0.096;20.419;;
1.52974;43.90;17.18;1015.64;0.099;20.045;;1.52971;44.31;18.03;1016.45;0.103;20.041;;1.52972;43.80;18.23;1015.43;0.094;20.333;;1.52972;43.39;23.96;1016.12;0.096;20.418;;
1.53113;43.91;17.17;1015.63;0.099;20.043;;1.53110;44.31;18.08;1016.45;0.103;20.039;;1.53111;43.80;18.35;1015.42;0.094;20.333;;1.53111;43.39;23.93;1016.13;0.096;20.417;;
1.53252;43.91;17.16;1015.63;0.099;20.040;;1.53249;44.31;18.10;1016.46;0.103;20.037;;1.53250;43.80;18.39;1015.41;0.094;20.334;;1.53250;43.40;23.99;1016.13;0.096;20.417;;
1.53390;43.91;17.29;1015.65;0.099;20.039;;1.53388;44.32;18.11;1016.46;0.103;20.035;;1.53389;43.80;18.42;1015.42;0.094;20.334;;1.53389;43.40;23.98;1016.15;0.096;20.415;;
1.53529;43.91;17.14;1015.64;0.099;20.036;;1.53527;44.32;18.14;1016.46;0.103;20.034;;1.53528;43.80;18.41;1015.43;0.095;20.334;;1.53528;43.40;23.98;1016.15;0.096;20.414;;
1.53668;43.91;17.16;1015.64;0.099;20.034;;1.53666;44.32;18.10;1016.44;0.103;20.034;;1.53667;43.80;18.42;1015.43;0.095;20.334;;1.53666;43.40;23.96;1016.15;0.096;20.414;;
1.53807;43.91;17.21;1015.64;0.099;20.032;;1.53805;44.32;18.15;1016.43;0.103;20.036;;1.53806;43.80;18.51;1015.43;0.095;20.333;;1.53805;43.40;24.01;1016.15;0.096;20.413;;
1.53946;43.91;17.02;1015.63;0.100;20.030;;1.53944;44.32;18.13;1016.44;0.103;20.036;;1.53945;43.80;18.41;1015.42;0.095;20.334;;1.53944;43.41;24.05;1016.15;0.096;20.412;;
1.54085;43.91;17.19;1015.64;0.100;20.028;;1.54083;44.32;18.14;1016.45;0.103;20.037;;1.54084;43.81;18.49;1015.43;0.095;20.332;;1.54083;43.41;24.06;1016.14;0.096;20.411;;
1.54224;43.92;17.17;1015.64;0.100;20.027;;1.54222;44.32;18.16;1016.44;0.104;20.039;;1.54223;43.81;18.46;1015.41;0.095;20.332;;1.54222;43.42;24.01;1016.14;0.096;20.409;;
1.54363;43.91;17.32;1015.65;0.100;20.026;;1.54360;44.32;18.13;1016.45;0.103;20.040;;1.54361;43.81;18.44;1015.42;0.095;20.332;;1.54361;43.42;24.05;1016.14;0.096;20.408;;
1.54502;43.92;17.28;1015.66;0.100;20.024;;1.54499;44.32;18.19;1016.45;0.103;20.041;;1.54500;43.81;18.42;1015.43;0.095;20.330;;1.54500;43.42;24.06;1016.15;0.096;20.407;;
1.54640;43.92;17.33;1015.65;0.100;20.025;;1.54638;44.32;18.21;1016.44;0.104;20.042;;1.54639;43.81;18.47;1015.42;0.095;20.330;;1.54639;43.42;24.13;1016.15;0.097;20.405;;
1.54779;43.92;17.20;1015.65;0.100;20.026;;1.54777;44.32;18.21;1016.43;0.103;20.043;;1.54778;43.81;18.36;1015.41;0.096;20.329;;1.54778;43.42;24.09;1016.14;0.097;20.404;;
1.54918;43.92;17.19;1015.64;0.100;20.026;;1.54916;44.32;18.27;1016.44;0.103;20.043;;1.54917;43.81;18.52;1015.41;0.096;20.329;;1.54917;43.42;24.09;1016.14;0.097;20.403;;
1.55057;43.92;17.24;1015.65;0.100;20.027;;1.55055;44.32;18.23;1016.43;0.104;20.044;;1.55056;43.82;18.43;1015.41;0.095;20.329;;1.55055;43.43;24.11;1016.12;0.097;20.402;;
1.55196;43.92;17.27;1015.66;0.100;20.027;;1.55194;44.32;18.20;1016.44;0.104;20.044;;1.55195;43.82;18.47;1015.41;0.096;20.328;;1.55194;43.43;24.06;1016.13;0.097;20.401;;
1.55335;43.93;17.31;1015.68;0.100;20.028;;1.55333;44.32;18.23;1016.44;0.104;20.045;;1.55334;43.82;18.55;1015.43;0.096;20.327;;1.55333;43.43;23.94;1016.14;0.097;20.401;;
1.55474;43.92;17.20;1015.68;0.100;20.029;;1.55472;44.32;18.22;1016.44;0.104;20.045;;1.55473;43.82;18.51;1015.42;0.096;20.326;;1.55472;43.43;23.88;1016.14;0.097;20.399;;
1.55613;43.92;17.37;1015.67;0.100;20.031;;1.55610;44.32;18.24;1016.44;0.104;20.046;;1.55611;43.82;18.52;1015.42;0.096;20.326;;1.55611;43.43;23.89;1016.12;0.097;20.398;;
1.55752;43.92;17.36;1015.68;0.101;20.031;;1.55749;44.32;18.28;1016.46;0.104;20.045;;1.55750;43.82;18.50;1015.42;0.096;20.324;;1.55750;43.44;23.86;1016.15;0.097;20.397;;
1.55891;43.92;17.36;1015.65;0.101;20.033;;1.55888;44.33;18.28;1016.45;0.104;20.045;;1.55889;43.82;18.61;1015.41;0.096;20.324;;1.55889;43.44;23.97;1016.13;0.097;20.396;;
1.56029;43.93;17.48;1015.66;0.101;20.034;;1.56027;44.33;18.27;1016.46;0.104;20.046;;1.56028;43.82;18.59;1015.41;0.096;20.323;;1.56028;43.44;24.11;1016.14;0.097;20.394;;
1.56168;43.93;17.49;1015.67;0.100;20.035;;1.56166;44.32;18.25;1016.46;0.104;20.046;;1.56167;43.82;18.71;1015.42;0.096;20.321;;1.56167;43.44;24.26;1016.15;0.098;20.393;;
1.56307;43.92;17.41;1015.67;0.100;20.036;;1.56305;44.33;18.31;1016.46;0.104;20.046;;1.56306;43.83;18.62;1015.43;0.097;20.321;;1.56306;43.44;24.23;1016.16;0.098;20.391;;
1.56446;43.92;17.40;1015.66;0.101;20.037;;1.56444;44.33;18.32;1016.46;0.104;20.046;;1.56445;43.82;18.71;1015.42;0.096;20.320;;1.56444;43.45;24.30;1016.15;0.098;20.390;;
1.56585;43.92;17.38;1015.67;0.100;20.038;;1.56583;44.33;18.38;1016.47;0.104;20.046;;1.56584;43.82;18.68;1015.43;0.096;20.320;;1.56583;43.45;24.32;1016.17;0.098;20.389;;
1.56724;43.92;17.52;1015.67;0.100;20.038;;1.56722;44.33;18.39;1016.46;0.104;20.046;;1.56723;43.82;18.79;1015.42;0.096;20.318;;1.56722;43.45;24.31;1016.17;0.098;20.387;;
1.56863;43.92;17.45;1015.66;0.101;20.038;;1.56861;44.32;18.37;1016.46;0.104;20.046;;1.56862;43.82;18.77;1015.40;0.096;20.317;;1.56861;43.45;24.17;1016.15;0.098;20.388;;
1.57002;43.92;17.48;1015.66;0.100;20.039;;1.56999;44.32;18.38;1016.46;0.105;20.046;;1.57001;43.82;18.68;1015.41;0.096;20.316;;1.57000;43.45;24.18;1016.14;0.098;20.387;;
1.57141;43.92;17.62;1015.67;0.101;20.039;;1.57138;44.32;18.45;1016.47;0.105;20.045;;1.57139;43.82;18.76;1015.43;0.096;20.315;;1.57139;43.46;24.33;1016.15;0.098;20.385;;
1.57280;43.92;17.50;1015.67;0.101;20.040;;1.57277;44.32;18.43;1016.48;0.104;20.045;;1.57278;43.82;18.73;1015.43;0.096;20.314;;1.57278;43.45;24.33;1016.16;0.098;20.384;;
1.57419;43.92;17.71;1015.65;0.101;20.041;;1.57416;44.32;18.43;1016.47;0.104;20.045;;1.57417;43.83;18.77;1015.44;0.097;20.313;;1.57417;43.46;24.42;1016.14;0.098;20.383;;
1.57557;43.92;17.55;1015.64;0.101;20.041;;1.57555;44.32;18.51;1016.46;0.105;20.045;;1.57556;43.83;18.79;1015.42;0.097;20.312;;1.57556;43.46;24.39;1016.14;0.098;20.382;;
1.57696;43.92;17.66;1015.64;0.101;20.041;;1.57694;44.32;18.49;1016.45;0.104;20.045;;1.57695;43.83;18.75;1015.42;0.097;20.311;;1.57695;43.46;24.46;1016.14;0.098;20.380;;
1.57835;43.92;17.87;1015.66;0.101;20.042;;1.57833;44.33;18.53;1016.46;0.104;20.045;;1.57834;43.83;18.77;1015.41;0.097;20.310;;1.57833;43.46;24.42;1016.15;0.098;20.379;;
1.57974;43.93;17.74;1015.67;0.101;20.042;;1.57972;44.33;18.50;1016.46;0.105;20.045;;1.57973;43.83;18.77;1015.41;0.097;20.310;;1.57972;43.47;24.41;1016.15;0.098;20.378;;
1.58113;43.93;17.60;1015.67;0.101;20.042;;1.58111;44.33;18.48;1016.45;0.105;20.045;;1.58112;43.83;18.90;1015.41;0.097;20.308;;1.58111;43.47;24.37;1016.17;0.099;20.376;;
1.58252;43.92;17.74;1015.65;0.101;20.042;;1.58250;44.33;18.54;1016.47;0.105;20.044;;1.58251;43.83;18.78;1015.41;0.097;20.307;;1.58250;43.47;24.52;1016.16;0.098;20.376;;
1.58391;43.92;17.67;1015.69;0.101;20.042;;1.58388;44.33;18.57;1016.49;0.105;20.044;;1.58389;43.83;18.86;1015.43;0.097;20.306;;1.58389;43.47;24.52;1016.18;0.099;20.375;;
1.58530;43.93;17.66;1015.68;0.101;20.043;;1.58527;44.33;18.52;1016.48;0.105;20.044;;1.58528;43.84;18.86;1015.42;0.097;20.305;;1.58528;43.47;24.56;1016.17;0.099;20.374;;
1.58669;43.92;17.67;1015.66;0.101;20.042;;1.58666;44.33;18.66;1016.47;0.105;20.044;;1.58667;43.83;18.91;1015.41;0.097;20.304;;1.58667;43.47;24.48;1016.14;0.098;20.373;;
1.58807;43.93;17.66;1015.66;0.101;20.041;;1.58805;44.33;18.63;1016.48;0.105;20.043;;1.58806;43.83;18.93;1015.43;0.097;20.306;;1.58806;43.47;24.50;1016.16;0.098;20.371;;
1.58946;43.93;17.80;1015.67;0.102;20.040;;1.58944;44.33;18.66;1016.48;0.105;20.041;;1.58945;43.84;19.05;1015.42;0.097;20.309;;1.58945;43.47;24.57;1016.17;0.099;20.371;;
1.59085;43.93;17.97;1015.68;0.102;20.039;;1.59083;44.33;18.81;1016.48;0.105;20.041;;1.59084;43.84;18.94;1015.42;0.097;20.310;;1.59084;43.47;24.67;1016.17;0.099;20.370;;
1.59224;43.93;17.88;1015.68;0.102;20.039;;1.59222;44.33;18.90;1016.48;0.105;20.041;;1.59223;43.83;19.08;1015.43;0.097;20.311;;1.59222;43.47;24.77;1016.15;0.099;20.369;;
1.59363;43.93;18.02;1015.68;0.102;20.039;;1.59361;44.33;18.90;1016.47;0.106;20.041;;1.59362;43.83;19.21;1015.43;0.098;20.311;;1.59361;43.47;24.78;1016.17;0.099;20.367;;
1.59502;43.93;18.04;1015.68;0.102;20.040;;1.59500;44.34;18.87;1016.46;0.105;20.040;;1.59501;43.83;19.32;1015.42;0.098;20.311;;1.59500;43.47;24.92;1016.16;0.099;20.366;;
1.59641;43.92;18.09;1015.68;0.102;20.040;;1.59639;44.33;19.04;1016.46;0.105;20.040;;1.59640;43.83;19.40;1015.41;0.098;20.311;;1.59639;43.48;24.95;1016.16;0.099;20.365;;
1.59780;43.92;18.13;1015.66;0.102;20.040;;1.59777;44.33;19.06;1016.46;0.105;20.040;;1.59778;43.83;19.44;1015.41;0.098;20.311;;1.59778;43.48;25.04;1016.15;0.099;20.364;;
1.59919;43.92;18.24;1015.66;0.102;20.040;;1.59916;44.33;19.11;1016.47;0.106;20.040;;1.59917;43.83;19.44;1015.41;0.098;20.309;;1.59917;43.48;24.97;1016.15;0.100;20.363;;
1.60058;43.92;18.25;1015.66;0.102;20.040;;1.60055;44.33;19.25;1016.46;0.106;20.038;;1.60056;43.83;19.54;1015.41;0.098;20.309;;1.60056;43.48;25.09;1016.15;0.100;20.361;;
1.60196;43.93;18.36;1015.67;0.102;20.039;;1.60194;44.33;19.26;1016.48;0.106;20.038;;1.60195;43.82;19.57;1015.42;0.098;20.308;;1.60195;43.48;25.18;1016.16;0.100;20.361;;
1.60335;43.92;18.46;1015.67;0.103;20.040;;1.60333;44.33;19.29;1016.46;0.106;20.038;;1.60334;43.83;19.60;1015.42;0.099;20.307;;1.60334;43.48;25.22;1016.16;0.100;20.360;;
1.60474;43.93;18.51;1015.66;0.103;20.039;;1.60472;44.33;19.34;1016.46;0.107;20.038;;1.60473;43.82;19.58;1015.40;0.099;20.308;;1.60473;43.48;25.26;1016.15;0.100;20.359;;
1.60613;43.93;18.60;1015.68;0.103;20.039;;1.60611;44.34;19.40;1016.46;0.107;20.037;;1.60612;43.82;19.38;1015.42;0.099;20.306;;1.60611;43.48;25.35;1016.17;0.100;20.357;;
1.60752;43.93;18.57;1015.67;0.104;20.039;;1.60750;44.33;19.47;1016.47;0.107;20.037;;1.60751;43.82;19.33;1015.41;0.099;20.306;;1.60750;43.48;25.39;1016.16;0.100;20.356;;
1.60891;43.93;18.61;1015.69;0.103;20.038;;1.60889;44.33;19.49;1016.48;0.107;20.036;;1.60890;43.82;19.40;1015.42;0.100;20.304;;1.60889;43.48;25.37;1016.17;0.101;20.355;;
1.61030;43.93;18.59;1015.68;0.103;20.039;;1.61028;44.33;19.61;1016.49;0.107;20.036;;1.61029;43.82;19.46;1015.43;0.100;20.304;;1.61028;43.48;25.46;1016.18;0.101;20.355;;
1.61169;43.93;18.66;1015.69;0.103;20.038;;1.61166;44.33;19.64;1016.47;0.107;20.036;;1.61167;43.82;19.55;1015.41;0.100;20.303;;1.61167;43.48;25.44;1016.18;0.101;20.353;;
1.61308;43.93;18.70;1015.68;0.104;20.039;;1.61305;44.33;19.62;1016.47;0.107;20.036;;1.61306;43.82;19.64;1015.42;0.100;20.302;;1.61306;43.48;25.39;1016.17;0.101;20.352;;
1.61447;43.93;18.72;1015.69;0.104;20.039;;1.61444;44.32;19.55;1016.47;0.108;20.035;;1.61445;43.81;19.59;1015.43;0.100;20.301;;1.61445;43.48;25.55;1016.18;0.102;20.351;;
1.61585;43.93;18.74;1015.67;0.104;20.038;;1.61583;44.33;19.56;1016.47;0.108;20.035;;1.61584;43.81;19.61;1015.43;0.100;20.301;;1.61584;43.48;25.54;1016.17;0.102;20.351;;
1.61724;43.92;18.79;1015.67;0.105;20.038;;1.61722;44.32;19.64;1016.47;0.108;20.035;;1.61723;43.81;19.58;1015.44;0.100;20.299;;1.61723;43.48;25.63;1016.18;0.102;20.350;;
1.61863;43.93;18.73;1015.70;0.105;20.037;;1.61861;44.32;19.69;1016.46;0.109;20.035;;1.61862;43.81;19.64;1015.43;0.101;20.300;;1.61862;43.48;25.65;1016.17;0.102;20.349;;
1.62002;43.93;18.82;1015.70;0.105;20.037;;1.62000;44.33;19.74;1016.47;0.109;20.034;;1.62001;43.81;19.65;1015.44;0.101;20.298;;1.62000;43.48;25.66;1016.18;0.102;20.347;;
1.62141;43.92;18.83;1015.69;0.105;20.037;;1.62139;44.33;19.79;1016.49;0.109;20.034;;1.62140;43.81;19.65;1015.46;0.101;20.297;;1.62139;43.48;25.72;1016.19;0.102;20.347;;
1.62280;43.93;18.80;1015.72;0.106;20.037;;1.62278;44.32;19.82;1016.49;0.109;20.034;;1.62279;43.81;19.79;1015.46;0.101;20.296;;1.62278;43.48;25.76;1016.18;0.103;20.346;;
1.62419;43.92;18.89;1015.71;0.106;20.037;;1.62416;44.32;19.87;1016.49;0.109;20.032;;1.62418;43.80;19.78;1015.46;0.102;20.295;;1.62417;43.48;25.79;1016.16;0.103;20.346;;
1.62558;43.92;19.02;1015.70;0.106;20.037;;1.62555;44.33;19.83;1016.47;0.109;20.033;;1.62557;43.80;19.91;1015.43;0.102;20.295;;1.62556;43.48;25.74;1016.16;0.103;20.345;;
